cd_mun;nm_mun;sede_utp;rm_origem;utp_origem;hierarquia;id_cadeia;status_cadeia;cd_destino_principal;nm_destino_principal;rm_destino_principal;utp_destino_principal;tempo_viagem_h;sugestao_analise
2702801;Flexeiras;False;N/A;NOVA2;secundaria;NUCLEO_179;Mista;2708501;São Luís do Quitunde;N/A;209;0.307983478;Desvio de Fluxo: Município pertence a uma UTP, mas seu vínculo principal é com um polo externo.
2702900;Girau do Ponciano;False;Recorte Metropolitano do Agreste;22;secundaria;NUCLEO_170;Mista;2700300;Arapiraca;Recorte Metropolitano do Agreste;22;0.445448848;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2703106;Igaci;False;Recorte Metropolitano do Agreste;NOVA19;secundaria;NUCLEO_173;Interna;2706307;Palmeira dos Índios;Recorte Metropolitano do Agreste;NOVA19;0.210606346;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2703205;Igreja Nova;False;N/A;NOVA17;secundaria;NUCLEO_180;Interna;2706703;Penedo;N/A;NOVA17;0.476915045;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2703502;Jacuípe;False;N/A;209;secundaria;NUCLEO_149;Interna;2614857;Tamandaré;N/A;209;1.486413872;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2703601;Japaratinga;False;N/A;209;secundaria;NUCLEO_167;Interna;2704500;Maragogi;N/A;209;0.166584636;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2703700;Jaramataia;False;Recorte Metropolitano do Agreste;22;secundaria;NUCLEO_170;Mista;2700300;Arapiraca;Recorte Metropolitano do Agreste;22;0.656345034;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2704104;Lagoa da Canoa;False;Recorte Metropolitano do Agreste;22;secundaria;NUCLEO_170;Mista;2700300;Arapiraca;Recorte Metropolitano do Agreste;22;0.221118948;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2704203;Limoeiro de Anadia;False;Recorte Metropolitano do Agreste;22;secundaria;NUCLEO_170;Mista;2700300;Arapiraca;Recorte Metropolitano do Agreste;22;0.305891965;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2704708;Marechal Deodoro;False;Recorte Metropolitano de Maceió;203;secundaria;NUCLEO_175;Interna;2704302;Maceió;Recorte Metropolitano de Maceió;203;0.485899422;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2705101;Matriz de Camaragibe;False;N/A;209;secundaria;NUCLEO_179;Mista;2706505;Passo de Camaragibe;N/A;209;0.411170031;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2705200;Messias;False;Recorte Metropolitano de Maceió;203;secundaria;NUCLEO_175;Interna;2704302;Maceió;Recorte Metropolitano de Maceió;203;0.466756914;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2705705;Olho d'Água das Flores;False;N/A;690;secundaria;NUCLEO_181;Interna;2708006;Santana do Ipanema;N/A;690;0.370256681;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2706000;Olivença;False;N/A;690;secundaria;NUCLEO_181;Interna;2708006;Santana do Ipanema;N/A;690;0.438769119;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2706448;Paripueira;False;Recorte Metropolitano de Maceió;203;secundaria;NUCLEO_175;Interna;2704302;Maceió;Recorte Metropolitano de Maceió;203;0.422321988;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2706802;Piaçabuçu;False;N/A;NOVA17;secundaria;NUCLEO_183;Interna;2800704;Brejo Grande;N/A;NOVA17;0.922310797;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2706901;Pilar;False;Recorte Metropolitano de Maceió;203;secundaria;NUCLEO_175;Interna;2704302;Maceió;Recorte Metropolitano de Maceió;203;0.536298185;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2707305;Porto Calvo;False;N/A;209;secundaria;NUCLEO_167;Interna;2704500;Maragogi;N/A;209;0.426229179;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2707909;Santa Luzia do Norte;False;Recorte Metropolitano de Maceió;203;secundaria;NUCLEO_175;Interna;2704302;Maceió;Recorte Metropolitano de Maceió;203;0.357910212;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2708808;São Sebastião;False;Recorte Metropolitano do Agreste;22;secundaria;NUCLEO_170;Mista;2700300;Arapiraca;Recorte Metropolitano do Agreste;22;0.369108306;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
2708907;Satuba;False;Recorte Metropolitano de Maceió;203;secundaria;NUCLEO_175;Interna;2704302;Maceió;Recorte Metropolitano de Maceió;203;0.298277771;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2708956;Senador Rui Palmeira;False;N/A;690;secundaria;NUCLEO_181;Interna;2708006;Santana do Ipanema;N/A;690;0.897204332;Integridade Territorial: Cadeia totalmente contida na mesma UTP.
2709004;Tanque d'Arca;False;Recorte Metropolitano do Agreste;22;secundaria;NUCLEO_170;Mista;2709103;Taquarana;Recorte Metropolitano do Agreste;22;0.2635008;Vínculo Híbrido: Município e destino estão na mesma UTP, mas respondem a um núcleo externo.
